 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 118  | Venonat            |  0.05354% | 110    |  0.020% | 44     |  0.017% | 
 | 119  | Cyclizar           |  0.05294% | 534    |  0.095% | 244    |  0.093% | 
 | 120  | Overqwil           |  0.05049% | 1268   |  0.225% | 550    |  0.210% | 
 | 121  | Salazzle           |  0.04990% | 294    |  0.052% | 115    |  0.044% | 
 | 122  | Magmortar          |  0.04971% | 179    |  0.032% | 79     |  0.030% | 
 | 123  | Quaquaval          |  0.04779% | 1430   |  0.254% | 661    |  0.252% | 
 | 124  | Cloyster           |  0.04356% | 155    |  0.028% | 44     |  0.017% | 
 | 125  | Blastoise          |  0.04315% | 1512   |  0.269% | 660    |  0.252% | 
 | 126  | Orthworm           |  0.04277% | 1025   |  0.182% | 425    |  0.162% | 
 | 127  | Altaria            |  0.04271% | 957    |  0.170% | 400    |  0.153% | 
 | 128  | Mienshao           |  0.04073% | 1396   |  0.248% | 554    |  0.211% | 
 | 129  | Swampert           |  0.04050% | 456    |  0.081% | 182    |  0.069% | 
 | 130  | Electrode-Hisui    |  0.03791% | 1524   |  0.271% | 563    |  0.215% | 
 | 131  | Empoleon           |  0.03724% | 1375   |  0.244% | 572    |  0.218% | 
 | 132  | Rotom-Wash         |  0.03677% | 1843   |  0.328% | 761    |  0.290% | 
 | 133  | Breloom            |  0.03635% | 1898   |  0.337% | 742    |  0.283% | 
 | 134  | Lucario            |  0.03536% | 1108   |  0.197% | 444    |  0.169% | 
 | 135  | Toxtricity         |  0.03501% | 1631   |  0.290% | 822    |  0.314% | 
 | 136  | Hariyama           |  0.03006% | 1502   |  0.267% | 633    |  0.242% | 
 | 137  | Gardevoir          |  0.02757% | 3127   |  0.556% | 1462   |  0.558% | 
 | 138  | Comfey             |  0.02682% | 2384   |  0.424% | 1064   |  0.406% | 
 | 139  | Rotom-Mow          |  0.02619% | 317    |  0.056% | 95     |  0.036% | 
 | 140  | Rabsca             |  0.02580% | 575    |  0.102% | 279    |  0.106% | 
 | 141  | Reuniclus          |  0.02574% | 1487   |  0.264% | 609    |  0.232% | 
 | 142  | Raichu             |  0.02452% | 1138   |  0.202% | 389    |  0.148% | 
 | 143  | Ludicolo           |  0.02447% | 1062   |  0.189% | 486    |  0.185% | 
 | 144  | Skeledirge         |  0.02440% | 1385   |  0.246% | 671    |  0.256% | 
 | 145  | Rotom-Heat         |  0.02365% | 1143   |  0.203% | 589    |  0.225% | 
 | 146  | Hawlucha           |  0.02355% | 851    |  0.151% | 338    |  0.129% | 
 | 147  | Glaceon            |  0.02264% | 958    |  0.170% | 476    |  0.182% | 
 | 148  | Rhyperior          |  0.02233% | 406    |  0.072% | 162    |  0.062% | 
 | 149  | Houndstone         |  0.02160% | 986    |  0.175% | 396    |  0.151% | 
